commodity,imports,exports,total
Mineral fuels & oils,334771738076,1264700025706,1599471763782
Vehicles,785093328074,524948963997,1310042292071
Machinery & mechanical appliances,759287766970,366319312999,1125607079969
Electrical equipment,477765195364,144807217019,622572412383
Precious metals & stones,193056609807,304544015449,497600625256
Plastics,186765178070,147321566399,334086744469
Confidential / low-value (CA),110605693918,187401263737,298006957655
Pharmaceuticals,174298267270,94267045756,268565313026
Optical & medical instruments,139994942534,76962556257,216957498791
Aircraft & spacecraft,81032199564,112656786560,193688986124
Wood & wood articles,32894808522,146097941838,178992750360
Articles of iron & steel,112639474218,55352298478,167991772696
Aluminium,48707249279,113276858257,161984107536
Iron & steel,81183377363,79880701058,161064078421
Furniture,93060535967,57064512280,150125048247
"Ores, slag & ash",35356248849,109660173328,145016422177
Paper & paperboard,62929852215,73692367811,136622220026
Organic chemicals,73553022061,36828051766,110381073827
Misc chemical products,68587249505,35356182112,103943431617
Cereals,12988070457,89791950737,102780021194
Inorganic chemicals,49304256999,51177354885,100481611884
Rubber,67194510759,33212396827,100406907586
Fertilizers,23334086817,76411189083,99745275900
Prepared cereals,38516233973,57158055825,95674289798
Meat & offal,25315728268,68898861528,94214589796
Vegetables,35863140407,56608295212,92471435619
Oil seeds,12066707014,75949880781,88016587795
Fish & seafood,24333502125,51674703506,76008205631
Copper,32910467557,41704542263,74615009820
Beverages & spirits,57529929342,15300541252,72830470594
Cosmetics & perfumes,43316162836,23761328618,67077491454
Animal/veg fats & oils,16796308811,49550201884,66346510695
Fruit & nuts,55036453051,8212152332,63248605383
Knitted apparel,56898174961,5291903331,62190078292
Wood pulp,4831265178,55775177160,60606442338
Misc food preparations,35645770993,23517639041,59163410034
Toys & sports equipment,49392025466,8803782837,58195808303
Woven apparel,46975571213,8724251886,55699823099
Food industry residues,24220930475,30225289852,54446220327
Prepared vegetables,26521665289,26991674888,53513340177
Cocoa & cocoa products,23458461648,23640725710,47099187358
Miscellaneous metal articles,28049623358,16312757504,44362380862
Soap & cleaning products,29902127303,11180427279,41082554582
Nickel,5078745587,35368255874,40447001461
Tanning & dye extracts,25298990344,11560678768,36859669112
Glass,25678659975,6407670762,32086330737
Stone & cement articles,18267890197,12167566040,30435456237
"Salt, sulphur, stone, cement",10602745815,18854568200,29457314015
"Coffee, tea & spices",21672839487,7659786178,29332625665
Special transactions (CA),2246646688,27063989748,29310636436
Tools & cutlery,22180441124,6538773405,28719214529
Prepared meat & fish,16045867404,12221205145,28267072549
Printed books & media,19914785669,8145718466,28060504135
Sugars,14492709902,12173907493,26666617395
Footwear,24660733728,1781950410,26442684138
Live animals,6799806649,19627914292,26427720941
Miscellaneous manufactures,16546155235,8972102540,25518257775
Other made-up textiles,19235513853,3713427598,22948941451
Leather goods,18489040574,2399528877,20888569451
Railway equipment,15539750611,2924047905,18463798516
Ships & boats,14573857580,2732199569,17306057149
Protein substances,11885318452,3525535630,15410854082
Milling products,3880117517,11401397361,15281514878
Zinc,1058042934,13690750994,14748793928
Dairy products,9912306661,4532731019,14445037680
Other base metals,6583025086,6717478245,13300503331
Ceramic products,11613848247,1003087142,12616935389
Live trees & plants,5178611613,6897644904,12076256517
Wadding & felt,7760021477,2235562746,9995584223
Coated textiles,5189355602,4367302533,9556658135
Arms & ammunition,4569562747,3244429292,7813992039
Carpets,6882925230,634266889,7517192119
Man-made filaments,4182636854,2571059736,6753696590
Clocks & watches,5836011325,874011309,6710022634
Tobacco,3932757457,1743646564,5676404021
Other animal products,2303720989,2964425933,5268146922
Headgear,4179350626,756154348,4935504974
Explosives,2177599739,2743339230,4920938969
Works of art,2355374694,2228497395,4583872089
Lead,235536156,4272141558,4507677714
Man-made staple fibres,2933472764,701982371,3635455135
Musical instruments,2299357404,774427426,3073784830
Resins & gums,2037577046,663346001,2700923047
Knitted fabrics,1636068630,691607099,2327675729
Special woven fabrics,1225339013,843095352,2068434365
Raw hides & skins,588529935,1401099539,1989629474
Feathers & artificial flowers,1250288886,146231226,1396520112
Furskins,551324867,795627148,1346952015
Cotton,1026259999,219595682,1245855681
Tin,795061548,294070502,1089132050
Photographic goods,833330644,150934102,984264746
Umbrellas,861792617,57838214,919630831
Wool,701606817,193385480,894992297
Basketware,434874535,331063584,765938119
Vegetable textile fibres,327163833,58752391,385916224
Cork,217352648,45946147,263298795
Vegetable materials,188702902,34988010,223690912
Silk,44729483,4723283,49452766
