partner,imports,exports,total
United States of America,2475046692793,3841977178646,6317023871439
Other (US),1435509155609,2053096835222,3488605990831
China,634492264077,213370403460,847862667537
Other (CN),335227057070,111752592105,446979649175
Mexico,308888720759,60384957780,369273678539
United Kingdom,66068751331,196156726448,262225477779
Japan,133102545518,107244562017,240347107535
Germany,160261447891,54000860065,214262307956
Other (MX),165509849581,36003270664,201513120245
"Korea, South",97854123968,49550930897,147405054865
Other (JP),78258866081,56049132599,134307998680
Other (GB),44776616740,82572940110,127349556850
Italy,84627916301,23678122655,108306038956
Other (DE),87613207352,19763977167,107377184519
Viet Nam,91843702609,6948635403,98792338012
France,62317544507,31151978514,93469523021
India,53277609112,32856462750,86134071862
Brazil,62860109178,21508782431,84368891609
Netherlands,31976960294,49433300796,81410261090
Switzerland,53597665041,23977321993,77574987034
Taiwan,54948975928,15404577030,70353552958
Other (KR),44132296711,23739597238,67871893949
Belgium,33598424774,27597498016,61195922790
Other (IT),38477782286,14194907010,52672689296
Other (FR),32054084880,16688839254,48742924134
Peru,37075286738,9270198320,46345485058
Spain,28354324225,16152056555,44506380780
Thailand,35244830350,7474441318,42719271668
Australia,21333804761,20510983053,41844787814
Other (IN),20388050983,20105147730,40493198713
Other (NL),19324052983,18139227763,37463280746
Indonesia,19162622604,17867174963,37029797567
Canada,37008879878,1357290,37010237168
Malaysia,27050531595,8837691238,35888222833
Other (TW),26477827477,8132404459,34610231936
Ireland,27433702180,6277904589,33711606769
Saudi Arabia,18332828614,13531676070,31864504684
Other (BR),21289003419,10373791181,31662794600
Other (BE),14082634348,17172465183,31255099531
Sweden,25229483416,4772158979,30001642395
Other (CH),21927266598,7949549999,29876816597
Hong Kong,3048131644,26716955378,29765087022
Norway,8280717489,20239462118,28520179607
Poland,20747474499,7666973023,28414447522
Other (VN),22349083846,3795330641,26144414487
T�rkiye,17939257104,7753943655,25693200759
Bangladesh,16134052368,8933693151,25067745519
Singapore,10090224177,13738189991,23828414168
Chile,15276855767,7227091102,22503946869
Austria,19162559483,2540663701,21703223184
Philippines,13006589745,8412383383,21418973128
Other (ES),12685091358,7859321607,20544412965
Other (CA),20032620887,0,20032620887
Other (TH),15990565855,4018999264,20009565119
Other (SA),12778815146,7014427356,19793242502
Other (NO),9633808057,9991759130,19625567187
United Arab Emirates,4293832691,15286411651,19580244342
Colombia,11634569909,7912795509,19547365418
Other (AU),9125814032,9659157436,18784971468
Other (HK),1622775950,16992479410,18615255360
Nigeria,13524440353,4532471409,18056911762
Other (ID),8302204190,9177735805,17479939995
Denmark,14395634909,2846730779,17242365688
Other (MY),13419681233,3794959628,17214640861
Cambodia,15710229473,322660537,16032890010
Finland,11128794796,4866785834,15995580630
Other (PE),11967555153,3883719800,15851274953
Portugal,12143213544,2904892025,15048105569
Other (TR),8194505264,5936443733,14130948997
Israel,10114133044,3646745309,13760878353
Other (CL),9086758022,4522440053,13609198075
Other (IE),10421035372,2990060163,13411095535
Argentina,10483468350,2639133003,13122601353
Other (SE),10315436650,2747430330,13062866980
Other (PL),9324383819,2848312531,12172696350
Other (SG),5374874159,6599245627,11974119786
Other (BD),7695693833,3760038385,11455732218
South Africa,9509624227,1751708782,11261333009
Egypt,6752327827,4118643943,10870971770
New Zealand,7327777713,3490816784,10818594497
Morocco,5631186764,5180871437,10812058201
Other (AT),9225611506,1430327729,10655939235
Other (PH),6855607981,3745564795,10601172776
Other (AR),8955782032,1636033666,10591815698
Algeria,1293376552,8461932684,9755309236
Other (AE),750440667,8663180191,9413620858
Ecuador,5291713731,3966467892,9258181623
Other (FI),5692879403,3416352089,9109231492
Other (RU),5320449100,3684308897,9004757997
Czechia,7050351691,1952444946,9002796637
Other (CO),4528716913,4247672743,8776389656
Russian Federation,6226378739,2317251366,8543630105
Other (IL),6295041176,2170698337,8465739513
Guatemala,5862063336,2518186929,8380250265
"South Africa, Republic of",6876089061,1499038625,8375127686
Pakistan,4328486542,4017421226,8345907768
Hungary,7385179031,756888281,8142067312
Other (DZ),5247738049,2787344446,8035082495
Other (DK),5896450091,1823363805,7719813896
Slovakia,6916250248,323581940,7239832188
Cuba,4850316878,2215162235,7065479113
Other (ZA),4710057150,2295947474,7006004624
Other (DO),6064479948,913146724,6977626672
Dominican Republic,4929910617,2007953622,6937864239
Other (NG),4573929664,2215229188,6789158852
Costa Rica,4945688098,1736007958,6681696056
Other (EG),4295320746,1961534249,6256854995
Romania,4768550768,1461457106,6230007874
Other (KH),5816178254,205156384,6021334638
Mauritania,5757381544,233009757,5990391301
Other (NZ),3419231912,2381768694,5801000606
Kazakhstan,4466927804,973777145,5440704949
Other (PK),1878629372,3513272171,5391901543
C�te d'Ivoire,4259753609,728945035,4988698644
Other (CU),2740466020,2188817478,4929283498
Sri Lanka,3661217897,1121577279,4782795176
Nicaragua,4248341083,519714784,4768055867
Trinidad and Tobago,2630522080,1912582402,4543104482
Honduras,3805783915,542532160,4348316075
Other (PT),2872605450,1320918836,4193524286
Bulgaria,2318306585,1752563272,4070869857
Ukraine,1581428659,2476454300,4057882959
Other (CZ),3023423568,971299961,3994723529
Greece,2875064349,1115925726,3990990075
Other (MA),2020874302,1903377758,3924252060
Other (GT),3312128425,577747309,3889875734
Other (HU),3296417477,428296912,3724714389
Turkey,1964582380,1616069328,3580651708
Other (AZ),3463906167,94178465,3558084632
Ghana,1109311814,2398675228,3507987042
Other (CR),2634673031,782864155,3417537186
Panama,310930798,3105021510,3415952308
