date,partner,imports,exports,total
2014-01,Other (US),19932150679,31775957436,51708108115
2014-01,Other (CN),4631271747,1333373474,5964645221
2014-01,Other (MX),1969822406,449733112,2419555518
2014-01,Other (JP),1023800333,697862440,1721662773
2014-01,Other (DE),1102651589,259274948,1361926537
2014-01,Other (GB),541016644,806024927,1347041571
2014-02,Other (US),20838500061,30427577712,51266077773
2014-02,Other (CN),4194667059,1332768484,5527435543
2014-02,Other (MX),2303895642,404138511,2708034153
2014-02,Other (JP),1049672431,861264926,1910937357
2014-02,Other (GB),593962992,1186299581,1780262573
2014-02,Other (DE),1209411517,251913086,1461324603
2014-03,Other (US),24314434310,35092597593,59407031903
2014-03,Other (CN),4065262590,1682455510,5747718100
2014-03,Other (MX),2381803805,436792148,2818595953
2014-03,Other (GB),739654779,1399884609,2139539388
2014-03,Other (JP),1186831956,935095102,2121927058
2014-03,Other (DE),1345080679,244886829,1589967508
2014-04,Other (US),23679997682,33695284517,57375282199
2014-04,Other (CN),4681470494,1631737507,6313208001
2014-04,Other (MX),2329273492,432820832,2762094324
2014-04,Other (JP),1081467274,888781022,1970248296
2014-04,Other (DE),1523351559,261573351,1784924910
2014-04,Other (GB),852714981,708949773,1561664754
2014-05,Other (US),24290586045,34418533736,58709119781
2014-05,Other (CN),4691857790,1804691109,6496548899
2014-05,Other (MX),2537257390,468138298,3005395688
2014-05,Other (JP),1125569442,928477688,2054047130
2014-05,Other (DE),1516215746,283173172,1799388918
2014-05,Other (GB),804619807,956941040,1761560847
2014-06,Other (US),24317613667,34275159120,58592772787
2014-06,Other (CN),4554139026,1708890561,6263029587
2014-06,Other (MX),2440287169,468477009,2908764178
2014-06,Other (JP),1124783152,1035037745,2159820897
2014-06,Other (GB),732210851,1423763750,2155974601
2014-06,Other (DE),1361883956,277756517,1639640473
2014-07,Other (US),22809886736,33016276081,55826162817
2014-07,Other (CN),4953993487,1557099395,6511092882
2014-07,Other (MX),2252993535,467226210,2720219745
2014-07,Other (GB),585593631,1729914369,2315508000
2014-07,Other (JP),1092869854,997577927,2090447781
2014-07,Other (DE),1400244892,242826836,1643071728
2014-08,Other (US),23467677126,33188953766,56656630892
2014-08,Other (CN),5115348877,1579898583,6695247460
2014-08,Other (MX),2255238576,415229176,2670467752
2014-08,Other (GB),888306884,1318975420,2207282304
2014-08,Other (JP),1070125266,846490959,1916616225
2014-08,Other (DE),1271009871,219601460,1490611331
2014-09,Other (US),23652400151,35367678303,59020078454
2014-09,Other (CN),5689523212,1610848936,7300372148
2014-09,Other (MX),2492981618,471867818,2964849436
2014-09,Other (GB),898449244,1555644086,2454093330
2014-09,Other (JP),1118412905,1017972997,2136385902
2014-09,Other (DE),1446904310,305592837,1752497147
2014-10,Other (US),25335530354,36068627458,61404157812
