code,hs2,imports,commodity,exports,total
ON,87,94741208189,Vehicles,0,94741208189
ON,84,66079673201,Machinery & mechanical appliances,0,66079673201
ON,85,47725553490,Electrical equipment,0,47725553490
ON,71,41407235863,Precious metals & stones,0,41407235863
ON,30,19743517851,Pharmaceuticals,0,19743517851
QC,84,18787818870,Machinery & mechanical appliances,0,18787818870
ON,39,16667554022,Plastics,0,16667554022
ON,90,14685708579,Optical & medical instruments,0,14685708579
BC,84,13148397759,Machinery & mechanical appliances,0,13148397759
ON,99,12538356406,Confidential / low-value (CA),0,12538356406
NB,27,12011794497,Mineral fuels & oils,0,12011794497
ON,27,10667622659,Mineral fuels & oils,0,10667622659
QC,27,10414684973,Mineral fuels & oils,0,10414684973
QC,85,9566553791,Electrical equipment,0,9566553791
MB,84,8045838956,Machinery & mechanical appliances,0,8045838956
BC,87,7717311101,Vehicles,0,7717311101
ON,73,7617622263,Articles of iron & steel,0,7617622263
ON,29,6903470316,Organic chemicals,0,6903470316
BC,85,6891915920,Electrical equipment,0,6891915920
ON,94,6856625400,Furniture,0,6856625400
AB,84,6667767342,Machinery & mechanical appliances,0,6667767342
ON,72,6306989458,Iron & steel,0,6306989458
QC,30,6080499381,Pharmaceuticals,0,6080499381
ON,48,5625074643,Paper & paperboard,0,5625074643
NS,87,5558183888,Vehicles,0,5558183888
ON,33,5301166701,Cosmetics & perfumes,0,5301166701
SK,84,5291990462,Machinery & mechanical appliances,0,5291990462
QC,88,5281900986,Aircraft & spacecraft,0,5281900986
AB,27,5015902559,Mineral fuels & oils,0,5015902559
ON,38,4818345326,Misc chemical products,0,4818345326
ON,95,4682866168,Toys & sports equipment,0,4682866168
ON,88,4674412472,Aircraft & spacecraft,0,4674412472
ON,08,4659701622,Fruit & nuts,0,4659701622
ON,40,4628150214,Rubber,0,4628150214
QC,87,4518289360,Vehicles,0,4518289360
ON,61,4432812637,Knitted apparel,0,4432812637
ON,21,4237464672,Misc food preparations,0,4237464672
ON,19,4229169674,Prepared cereals,0,4229169674
ON,76,4221477726,Aluminium,0,4221477726
ON,22,3710126142,Beverages & spirits,0,3710126142
